COD_DPTO;DEPARTAMENTO;COD_MPIO;MUNICIPIO;LONGITUD;LATITUD
5;ANTIOQUIA;5001;MEDELLÍN;-75,581775;6,246631
5;ANTIOQUIA;5002;ABEJORRAL;-75,428739;5,789315
5;ANTIOQUIA;5004;ABRIAQUÍ;-76,064304;6,632282
5;ANTIOQUIA;5021;ALEJANDRÍA;-75,141346;6,376061
5;ANTIOQUIA;5030;AMAGÁ;-75,702188;6,038708
5;ANTIOQUIA;5031;AMALFI;-75,077501;6,909655
5;ANTIOQUIA;5034;ANDES;-75,878828;5,657194
5;ANTIOQUIA;5036;ANGELÓPOLIS;-75,711389;6,109719
5;ANTIOQUIA;5038;ANGOSTURA;-75,335116;6,885175
5;ANTIOQUIA;5040;ANORÍ;-75,148355;7,074703
5;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;-75,826648;6,556484
5;ANTIOQUIA;5044;ANZÁ;-75,854442;6,302641
5;ANTIOQUIA;5045;APARTADÓ;-76,625279;7,882968
5;ANTIOQUIA;5051;ARBOLETES;-76,426708;8,849317
5;ANTIOQUIA;5055;ARGELIA;-75,14107;5,731474
5;ANTIOQUIA;5059;ARMENIA;-75,786647;6,155667
5;ANTIOQUIA;5079;BARBOSA;-75,331627;6,439195
5;ANTIOQUIA;5086;BELMIRA;-75,667779;6,606319
5;ANTIOQUIA;5088;BELLO;-75,555245;6,333587
5;ANTIOQUIA;5091;BETANIA;-75,97679;5,74615
5;ANTIOQUIA;5093;BETULIA;-75,984452;6,115208
5;ANTIOQUIA;5101;CIUDAD BOLÍVAR;-76,021509;5,850273
5;ANTIOQUIA;5107;BRICEÑO;-75,55036;7,112803
5;ANTIOQUIA;5113;BURITICÁ;-75,907;6,720759
5;ANTIOQUIA;5120;CÁCERES;-75,35205;7,578366
5;ANTIOQUIA;5125;CAICEDO;-75,98293;6,405607
5;ANTIOQUIA;5129;CALDAS;-75,633673;6,091077
5;ANTIOQUIA;5134;CAMPAMENTO;-75,298091;6,979771
5;ANTIOQUIA;5138;CAÑASGORDAS;-76,028228;6,753859
5;ANTIOQUIA;5142;CARACOLÍ;-74,757421;6,409829
5;ANTIOQUIA;5145;CARAMANTA;-75,643868;5,54853
5;ANTIOQUIA;5147;CAREPA;-76,652652;7,755148
5;ANTIOQUIA;5148;EL CARMEN DE VIBORAL;-75,333901;6,082885
5;ANTIOQUIA;5150;CAROLINA;-75,283192;6,725995
5;ANTIOQUIA;5154;CAUCASIA;-75,197996;7,977278
5;ANTIOQUIA;5172;CHIGORODÓ;-76,681531;7,666147
5;ANTIOQUIA;5190;CISNEROS;-75,087047;6,537829
5;ANTIOQUIA;5197;COCORNÁ;-75,185483;6,058295
5;ANTIOQUIA;5206;CONCEPCIÓN;-75,257587;6,394348
5;ANTIOQUIA;5209;CONCORDIA;-75,908448;6,045738
5;ANTIOQUIA;5212;COPACABANA;-75,509384;6,348557
5;ANTIOQUIA;5234;DABEIBA;-76,261614;6,998112
5;ANTIOQUIA;5237;DONMATÍAS;-75,39263;6,485603
5;ANTIOQUIA;5240;EBÉJICO;-75,766413;6,325615
5;ANTIOQUIA;5250;EL BAGRE;-74,799097;7,5975
5;ANTIOQUIA;5264;ENTRERRÍOS;-75,517685;6,566273
5;ANTIOQUIA;5266;ENVIGADO;-75,582192;6,166695
5;ANTIOQUIA;5282;FREDONIA;-75,675072;5,928039
5;ANTIOQUIA;5284;FRONTINO;-76,130765;6,776066
5;ANTIOQUIA;5306;GIRALDO;-75,952158;6,680808
5;ANTIOQUIA;5308;GIRARDOTA;-75,444238;6,379472
5;ANTIOQUIA;5310;GÓMEZ PLATA;-75,220018;6,683269
5;ANTIOQUIA;5313;GRANADA;-75,184446;6,142892
5;ANTIOQUIA;5315;GUADALUPE;-75,239862;6,815069
5;ANTIOQUIA;5318;GUARNE;-75,441612;6,27787
5;ANTIOQUIA;5321;GUATAPÉ;-75,160041;6,232461
5;ANTIOQUIA;5347;HELICONIA;-75,734322;6,206757
5;ANTIOQUIA;5353;HISPANIA;-75,906587;5,799461
5;ANTIOQUIA;5360;ITAGÜÍ;-75,612056;6,175079
5;ANTIOQUIA;5361;ITUANGO;-75,764673;7,171629
5;ANTIOQUIA;5364;JARDÍN;-75,818982;5,597542
5;ANTIOQUIA;5368;JERICÓ;-75,785499;5,789748
5;ANTIOQUIA;5376;LA CEJA;-75,429433;6,028062
5;ANTIOQUIA;5380;LA ESTRELLA;-75,637708;6,145238
5;ANTIOQUIA;5390;LA PINTADA;-75,60781;5,743808
5;ANTIOQUIA;5400;LA UNIÓN;-75,360874;5,973845
5;ANTIOQUIA;5411;LIBORINA;-75,812838;6,677316
5;ANTIOQUIA;5425;MACEO;-74,78716;6,552116
5;ANTIOQUIA;5440;MARINILLA;-75,339345;6,173995
5;ANTIOQUIA;5467;MONTEBELLO;-75,523455;5,946313
5;ANTIOQUIA;5475;MURINDÓ;-76,817485;6,97771
5;ANTIOQUIA;5480;MUTATÁ;-76,435875;7,242875
5;ANTIOQUIA;5483;NARIÑO;-75,176262;5,610777
5;ANTIOQUIA;5490;NECOCLÍ;-76,787271;8,434526
5;ANTIOQUIA;5495;NECHÍ;-74,77647;8,094129
5;ANTIOQUIA;5501;OLAYA;-75,811773;6,626492
5;ANTIOQUIA;5541;PEÑOL;-75,242693;6,219349
5;ANTIOQUIA;5543;PEQUE;-75,910357;7,021029
5;ANTIOQUIA;5576;PUEBLORRICO;-75,839903;5,79158
5;ANTIOQUIA;5579;PUERTO BERRÍO;-74,410016;6,487028
5;ANTIOQUIA;5585;PUERTO NARE;-74,583012;6,186025
5;ANTIOQUIA;5591;PUERTO TRIUNFO;-74,64119;5,871318
5;ANTIOQUIA;5604;REMEDIOS;-74,698135;7,029424
5;ANTIOQUIA;5607;RETIRO;-75,501301;6,062454
5;ANTIOQUIA;5615;RIONEGRO;-75,377316;6,147148
5;ANTIOQUIA;5628;SABANALARGA;-75,816645;6,850028
5;ANTIOQUIA;5631;SABANETA;-75,615479;6,149903
5;ANTIOQUIA;5642;SALGAR;-75,976807;5,964198
5;ANTIOQUIA;5647;SAN ANDRÉS DE CUERQUÍA;-75,674564;6,916676
5;ANTIOQUIA;5649;SAN CARLOS;-74,988097;6,187746
5;ANTIOQUIA;5652;SAN FRANCISCO;-75,101562;5,963476
5;ANTIOQUIA;5656;SAN JERÓNIMO;-75,726975;6,44809
5;ANTIOQUIA;5658;SAN JOSÉ DE LA MONTAÑA;-75,683352;6,85009
5;ANTIOQUIA;5659;SAN JUAN DE URABÁ;-76,52857;8,758964
5;ANTIOQUIA;5660;SAN LUIS;-74,993619;6,043017
5;ANTIOQUIA;5664;SAN PEDRO DE LOS MILAGROS;-75,556743;6,46012
5;ANTIOQUIA;5665;SAN PEDRO DE URABÁ;-76,380567;8,276884
5;ANTIOQUIA;5667;SAN RAFAEL;-75,02849;6,293759
5;ANTIOQUIA;5670;SAN ROQUE;-75,019109;6,485939
5;ANTIOQUIA;5674;SAN VICENTE FERRER;-75,332616;6,282164
5;ANTIOQUIA;5679;SANTA BÁRBARA;-75,567351;5,875527
